attended_object,target_word,target_sentence,highlight,id,color,(ignore)
공,던지다,공을 던져요,던져요,ball_1,#3f5aa8,
공,잡다,공을 잡아요,잡아요,ball_2,#46a26c,
공,받다,공을 받아요,받아요,ball_3,#86957f,
공,굴리다,공을 굴려요,굴려요,ball_4,#199bce,
공,차다,공을 차요,차요,ball_5,#096013,
공,튀기다,공을 튀겨요,튀겨요,ball_6,#075c62,
버스,타다,버스를 타요,타요,bus_1,#2b0b6f,
버스,내리다,버스에서 내려요,내려요,bus_2,#95265c,
버스,운전하다,버스를 운전해요,운전해요,bus_3,#a113b2,
버스,기다리다,버스를 기다려요,기다려요,bus_4,#2d2134,
버스,달리다,버스가 달려요,달려요,bus_5,#d6709b,
버스,멈추다,버스가 멈춰요,멈춰요,bus_6,#fd048f,
꽃,피다,꽃이 피었어요,피었어요,flower_1,#46a26c,
꽃,예쁘다,꽃이 예뻐요,예뻐요,flower_2,#075c62,
꽃,보다,꽃을 봐요,봐요,flower_3,#2b3fff,
꽃,흔들다,꽃을 흔들어요,흔들어요,flower_4,#3f5aa8,
꽃,향기롭다,꽃이 향기로워요,향기로워요,flower_5,#096013,
꽃,선물하다,꽃을 선물해요,선물해요,flower_6,#199bce,
강아지,만지다,강아지를 만져요,만져요,dog_1,#2d2134,
강아지,안다,강아지를 안아요,안아요,dog_2,#a113b2,
강아지,산책하다,강아지와 산책해요,산책해요,dog_3,#fd048f,
강아지,달리다,강아지가 달려요,달려요,dog_4,#2b0b6f,
강아지,짖다,강아지가 짖어요,짖어요,dog_5,#86957f,
강아지,귀엽다,강아지는 귀여워요,귀여워요,dog_6,#95265c,
고양이,귀엽다,고양이는 귀여워요,귀여워요,cat_1,#46a26c,
고양이,쓰다듬다,고양이를 쓰다듬어요,쓰다듬어요,cat_2,#3f5aa8,
고양이,만지다,고양이를 만져요,만져요,cat_3,#199bce,
고양이,안다,고양이를 안아요,안아요,cat_4,#075c62,
고양이,울다,고양이가 울어요,울어요,cat_5,#d6709b,
고양이,뛰다,고양이가 뛰어요,뛰어요,cat_6,#2b3fff,
신발,신다,신발을 신어요,신어요,shoe_1,#096013,
신발,벗다,신발을 벗어요,벗어요,shoe_2,#86957f,
신발,작다,신발이 작아요,작아요,shoe_3,#2d2134,
신발,헐렁하다,신발이 헐렁해요,헐렁해요,shoe_4,#a113b2,
신발,들다,신발을 들어요,들어요,shoe_5,#2b0b6f,
신발,고르다,신발을 골라요,골라요,shoe_6,#fd048f,
숟가락,들다,숟가락을 들어요,들어요,spoon_1,#95265c,
숟가락,놓다,숟가락을 놓아요,놓아요,spoon_2,#199bce,
숟가락,먹다,숟가락으로 먹어요,먹어요,spoon_3,#2b3fff,
숟가락,뜨다,숟가락으로 떠요,떠요,spoon_4,#3f5aa8,
숟가락,드리다,숟가락을 드려요,드려요,spoon_5,#075c62,
숟가락,쥐다,숟가락을 쥐어요,쥐어요,spoon_6,#d6709b,
물고기,잡다,물고기를 잡아요,잡아요,fish_1,#46a26c,
물고기,낚시하다,물고기를 낚시해요,낚시해요,fish_2,#096013,
물고기,헤엄치다,물고기가 헤엄쳐요,헤엄쳐요,fish_3,#2b0b6f,
물고기,알록달록하다,물고기가 알록달록해요,알록달록해요,fish_4,#2d2134,
물고기,귀엽다,물고기가 귀여워요,귀여워요,fish_5,#a113b2,
물고기,먹다,물고기를 먹어요,먹어요,fish_6,#86957f,
자전거,타다,자전거를 타요,타요,bicycle_1,#fd048f,
자전거,빠르다,자전거가 빨라요,빨라요,bicycle_2,#3f5aa8,
자전거,세우다,자전거를 세워요,세워요,bicycle_3,#d6709b,
자전거,끌다,자전거를 끌어요,끌어요,bicycle_4,#95265c,
자전거,구르다,자전거가 굴러요,굴러요,bicycle_5,#2b3fff,
자전거,넘어지다,자전거가 넘어져요,넘어져요,bicycle_6,#199bce,
곰돌이,인사하다,곰돌이가 인사해요,인사해요,bear_1,#2b0b6f,
곰돌이,쓰다듬다,곰돌이를 쓰다듬어요,쓰다듬어요,bear_2,#096013,
곰돌이,놀다,곰돌이랑 놀아요,놀아요,bear_3,#86957f,
곰돌이,행복하다,곰돌이는 행복해요,행복해요,bear_4,#a113b2,
곰돌이,자다,곰돌이가 자요,자요,bear_5,#075c62,
곰돌이,포근하다,곰돌이가 포근해요,포근해요,bear_6,#46a26c,
아기,놀다,아기랑 놀아요,놀아요,baby_1,#fd048f,
아기,꾸미다,아기를 꾸며요,꾸며요,baby_2,#3f5aa8,
아기,씻기다,아기를 씻겨요,씻겨요,baby_3,#95265c,
아기,먹다,아기가 먹어요,먹어요,baby_4,#d6709b,
아기,배부르다,아기가 배불러요,배불러요,baby_5,#199bce,
아기,자다,아기가 자요,자요,baby_6,#2b3fff,
가방,열다,가방을 열어요,열어요,bag_1,#075c62,
가방,닫다,가방을 닫아요,닫아요,bag_2,#86957f,
가방,넣다,가방에 넣어요,넣어요,bag_3,#46a26c,
가방,꺼내다,가방에서 꺼내요,꺼내요,bag_4,#a113b2,
가방,메다,가방을 메요,메요,bag_5,#096013,
가방,무겁다,가방이 무거워요,무거워요,bag_6,#2b0b6f,
