attended object,target word,target sentence,highlight,role,Image
공,던지다,공을 던져요,던져요,동사,https://drive.google.com/file/d/16_ZvEogGtfN24Az9zrbiDsK_v5E8ziit/view?usp=sharing
공,굴리다,공을 굴려요,굴려요,,https://drive.google.com/file/d/1by5Un3Oa6eepxGwF7xPI27gtDtI9dAFK/view?usp=sharing
공,튀기다,공을 튀겨요,튀겨요,,https://drive.google.com/file/d/1qxisA9g8ol7yD520QXyJGePiqHh9IPhE/view?usp=sharing
공,잡다,공을 잡아요,잡아요,,https://drive.google.com/file/d/1Ru1VtESjRNzxUXWubdUC0hMVav63vISD/view?usp=sharing
공,차다,공을 차요,차요,,https://drive.google.com/file/d/1dpKQjyZCOaqC2qS6t71UjND3HHSE6CPB/view?usp=sharing
공,받다,공을 받아요,받아요,,https://drive.google.com/file/d/1tSRIxx0vUoTnT9kbt2l_swTGdUDIAaBN/view?usp=sharing
버스,타다,버스를 타요,타요,,https://drive.google.com/file/d/1y_KK6qWXPbAkNU3gxSYS2PdnLrgKtx8z/view?usp=sharing
버스,운전하다,버스를 운전해요,운전해요,,https://drive.google.com/file/d/1J8rtYhVD4ma9duzWWCwoVeAW04Yb967V/view?usp=sharing
버스,기다리다,버스를 기다려요,기다려요,,https://drive.google.com/file/d/1rMkFYh1tHYCakFvYNRWfKKHjVmohkXaN/view?usp=sharing
버스,멈추다,버스를 멈춰요,멈춰요,,https://drive.google.com/file/d/1hbTE5hIgqQIPA1PJw0Pu-ebQJM1ah272/view?usp=sharing
버스,내리다,버스를 내려요,내려요,,https://drive.google.com/file/d/1g6G5lavyuZSxG7xyDxRwntQ--DA8VSjT/view?usp=sharing
버스,달리다,버스가 달려요,달려요,,https://drive.google.com/file/d/1cd1ewiO3pZPJCZw_u67nGosxBYn75RpU/view?usp=sharing
꽃,보다,꽃을 봐요,봐요,,https://drive.google.com/file/d/1I_UvHBk16jVXL9HqyIL_E9LjDxNizaE6/view?usp=sharing
꽃,흔들다,꽃을 흔들어요,흔들어요,,https://drive.google.com/file/d/1VD0Z-Lv64Pq0G2-w6nScpFcKCkajgjMg/view?usp=sharing
꽃,선물하다,꽃을 선물해요,선물해요,,https://drive.google.com/file/d/1uPNBD-zob6GaIOj6dpmos-qtr8I8PTr1/view?usp=sharing
꽃,예쁘다,꽃이 예뻐요,예뻐요,,https://drive.google.com/file/d/1T7NkUhybpA2Ofwby_ZluvmrK64ZXsyB-/view?usp=sharing
꽃,피다,꽃이 피었어요,피었어요,약간 다른...,https://drive.google.com/file/d/10VOfqJ_NMKOxa02-Gjql_4DL5p-akKbd/view?usp=sharing
꽃,향기롭다,꽃이 향기로워요,향기로워요,,https://drive.google.com/file/d/1kD65Ib0AAvR3UllhB0QY2-nhPgGfC3vO/view?usp=sharing
강아지,짖다,강아지가 짖어요,짖어요,동사,https://drive.google.com/file/d/1jCJQCstwDgny0ZEp_6pNuuS7zNJWanAx/view?usp=sharing
강아지,달리다,강아지가 달려요,달려요,동사,https://drive.google.com/file/d/1Pijf0ITjCso9FruDasTm-KE3jOUN0oGE/view?usp=sharing
강아지,안다,강아지를 안아요,안아요,동사,https://drive.google.com/file/d/1RN5wspsEzA-rwTq_OR-YwLHMm_mwHwrz/view?usp=sharing
강아지,만지다,강아지를 만져요,만져요,동사,https://drive.google.com/file/d/1DLolNEtppvfmH0LWkRhJQ6GPPlKLOQLg/view?usp=sharing
강아지,산책하다,강아지와 산책해요,산책해요,동사,https://drive.google.com/file/d/11dZzi4DCrMjlW8PW-0dBVz8mwyRGIhlL/view?usp=sharing
강아지,귀엽다,강아지는 귀여워요,귀여워요,형용사,https://drive.google.com/file/d/1XMgUbJ__peAg7_fDSq9Zsvn2M6fj-kjy/view?usp=sharing
고양이,울다,고양이가 울어요,울어요,,
고양이,달리다,고양이가 달려요,달려요,,
고양이,쓰다듬다,고양이를 쓰다듬어요,쓰다듬어요,,
고양이,만지다,고양이를 만져요,만져요,,
고양이,안다,고양이를 안아요,안아요,,
고양이,귀엽다,고양이는 귀여워요,귀여워요,,
신발,신다,신발을 신어요,신어요,,
신발,벗다,신발을 벗어요,벗어요,,
신발,들다,신발을 들어요,들어요,,
신발,헐렁하다,신발이 헐렁하다,헐렁하다,,
신발,크다,신발이 커요,커요,,
신발,불편하다,신발이 불편해요,불편해요,,
숟가락,들다,숟가락을 들어요,들어요,,
숟가락,쥐다,숟가락을 쥐어요,쥐어요,,
숟가락,먹다,숟가락으로 먹어요,먹어요,,
숟가락,뜨다,숟가락으로 떠요,떠요,,
숟가락,놓다,숟가락을 놓아요,놓아요,,
숟가락,얹다,숟가락을 얹어요,얹어요,,
물고기,잡다,물고기를 잡아요,잡아요,,
물고기,낚시하다,물고기를 낚시해요,낚시해요,,
물고기,먹다,물고기를 먹어요,먹어요,,
물고기,헤엄치다,물고기가 헤엄쳐요,헤엄쳐요,,
물고기,귀엽다,물고기가 귀여워요,귀여워요,,
물고기,알록달록하다,물고기가 알록달록해요,알록달록해요,,
자전거,타다,자전거를 타요,타요,,
자전거,끌다,자전거를 끌어요,끌어요,,
자전거,세우다,자전거를 세워요,세워요,,
